Source,Field,Field(lower),Descriptor,Label,category,text
Haematology  Lab Data Restruct,ReadCodeValue,readcodevalue,The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode proivided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  ,key,key,Haematology  Lab Data Restruct ReadCodeValue The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode proivided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  
Cataracts Biometry Cataract su,AScanCodeFE,ascancodefe,AScanCodeFE,key,key,Cataracts Biometry Cataract su AScanCodeFE AScanCodeFE
Biochemistry  Lab Data Restruc,TestIdentifier,testidentifier,Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  ,key,key,Biochemistry  Lab Data Restruc TestIdentifier Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  
Haematology  Lab Data Restruct,TestReportID,testreportid,This field represents a unique number to the patient and test and is anonymised on extraction ,key,key,Haematology  Lab Data Restruct TestReportID This field represents a unique number to the patient and test and is anonymised on extraction 
Screening Eye images and retin,drScreeningId,drscreeningid,UUID of the procedure which forms a Screening Event in the procedure  A screening event includes the dilation type  VA measurement  but not the photography or grading procedures following ,key,key,Screening Eye images and retin drScreeningId UUID of the procedure which forms a Screening Event in the procedure  A screening event includes the dilation type  VA measurement  but not the photography or grading procedures following 
Cataracts Biometry Cataract su,BiometryType,biometrytype,BiometryType,key,key,Cataracts Biometry Cataract su BiometryType BiometryType
f referral Optimum Patient Car,patid,patid,Patient ID linking to d patient,key,key,f referral Optimum Patient Car patid Patient ID linking to d patient
Immunology  Extractable Immuno,Lab_number,lab_number,This field represents a unique internal number assigned in MasterLab system  It is used by HIC for referring back to individual laboratory results  ,key,key,Immunology  Extractable Immuno Lab_number This field represents a unique internal number assigned in MasterLab system  It is used by HIC for referring back to individual laboratory results  
Microbiology   Tayside Tests,PROCHI,prochi,Anonymised patient identifier,key,key,Microbiology   Tayside Tests PROCHI Anonymised patient identifier
Haematology  Lab Data Restruct,PatientID,patientid,Community Health Index  CHI  number is a unique personal identifier allocated to each patient on first registration with a GP Practice  It follows the format DDMMYYRRGC where DDMMYY represents the persons date of birth  RR are random digits  G is another random digit but acts as a gender identifier   where odd numbers indicate males and even numbers indicate females   and the final digit is an arithmetical check digit ,key,key,Haematology  Lab Data Restruct PatientID Community Health Index  CHI  number is a unique personal identifier allocated to each patient on first registration with a GP Practice  It follows the format DDMMYYRRGC where DDMMYY represents the persons date of birth  RR are random digits  G is another random digit but acts as a gender identifier   where odd numbers indicate males and even numbers indicate females   and the final digit is an arithmetical check digit 
d practice Optimum Patient Car,practice_id,practice_id,Practice ID  anonymous  derived from OPCRD ,key,key,d practice Optimum Patient Car practice_id Practice ID  anonymous  derived from OPCRD 
Biochemistry  Lab Data Restruc,LabNumber,labnumber,Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question   ,key,key,Biochemistry  Lab Data Restruc LabNumber Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question   
patients Cataract surgery and ,patAnonKey,patanonkey,unique identifier,key,key,patients Cataract surgery and  patAnonKey unique identifier
Microbiology   Tayside Tests,TestCode,testcode,This field represents the microbiology test code that was performed  e g   BC   Blood Cultures  GEN   Genotype   ,key,key,Microbiology   Tayside Tests TestCode This field represents the microbiology test code that was performed  e g   BC   Blood Cultures  GEN   Genotype   
Cataracts Biometry Cataract su,BiometristCode,biometristcode,BiometristCode,key,key,Cataracts Biometry Cataract su BiometristCode BiometristCode
Cataracts Biometry Cataract su,AScanCode,ascancode,AScanCode,key,key,Cataracts Biometry Cataract su AScanCode AScanCode
Screening Eye images and retin,patAnonKey,patanonkey,Patient UUID  aka GUID  anonymised patient id,key,key,Screening Eye images and retin patAnonKey Patient UUID  aka GUID  anonymised patient id
Cataracts Biometry Cataract su,IOLModelCodeFE,iolmodelcodefe,IOLModelCodeFE,key,key,Cataracts Biometry Cataract su IOLModelCodeFE IOLModelCodeFE
Immunology  Extractable Immuno,PROCHI,prochi,Anonymised patient identifier,key,key,Immunology  Extractable Immuno PROCHI Anonymised patient identifier
Haematology  Lab Data Restruct,hic_dataLoadRunID,hic_dataloadrunid,No Column Description Available,key,key,Haematology  Lab Data Restruct hic_dataLoadRunID No Column Description Available
Immunology  Extractable Immuno,hb_extract,hb_extract,This field represents the alpha and or numeric Health Board code in which the patient CHI information was extracted from   ,key,key,Immunology  Extractable Immuno hb_extract This field represents the alpha and or numeric Health Board code in which the patient CHI information was extracted from   
Haematology  Lab Data Restruct,RequestingOrganisationID,requestingorganisationid,No Column Description Available,key,key,Haematology  Lab Data Restruct RequestingOrganisationID No Column Description Available
d patient Optimum Patient Care,patid,patid,Patient ID  anonymous  derived from service DB ,key,key,d patient Optimum Patient Care patid Patient ID  anonymous  derived from service DB 
Biochemistry  Lab Data Restruc,LabNumberIdentifiable,labnumberidentifiable,This field represents the Lab Number ,key,key,Biochemistry  Lab Data Restruc LabNumberIdentifiable This field represents the Lab Number 
Observations Eye images and re,drEncounterId,drencounterid,UUID of the Encounter Id linking together the procedures which form the complete screening and grading process ,key,key,Observations Eye images and re drEncounterId UUID of the Encounter Id linking together the procedures which form the complete screening and grading process 
Cataracts Biometry Cataract su,KeratometerCode,keratometercode,KeratometerCode,key,key,Cataracts Biometry Cataract su KeratometerCode KeratometerCode
d patient Optimum Patient Care,copd_diag,copd_diag,First COPD diagnosis or first COPD diagnosis since last COPD resolved code if present,key,key,d patient Optimum Patient Care copd_diag First COPD diagnosis or first COPD diagnosis since last COPD resolved code if present
Haematology  Lab Data Restruct,TestSet_ReadCodeValue,testset_readcodevalue,The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  ,key,key,Haematology  Lab Data Restruct TestSet_ReadCodeValue The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  
Demographics Eye images and re,patAnonKey,patanonkey,Unique identifier for patient  The anonymous key is generated by hashing patients ID e g  abc1234,key,key,Demographics Eye images and re patAnonKey Unique identifier for patient  The anonymous key is generated by hashing patients ID e g  abc1234
d patient Optimum Patient Care,asthma_resolved,asthma_resolved,Last asthma resolved code on record if present,key,key,d patient Optimum Patient Care asthma_resolved Last asthma resolved code on record if present
Microbiology   Tayside Tests,SpecimenNo,specimenno,This field represents the alphanumeric specimen number  The specimen number is unique with the first part as date and department  e g  06B   The second part is the number  This starts at 100000 or 000001 every year  The combination is unique  until 2106�Ǫ   ,key,key,Microbiology   Tayside Tests SpecimenNo This field represents the alphanumeric specimen number  The specimen number is unique with the first part as date and department  e g  06B   The second part is the number  This starts at 100000 or 000001 every year  The combination is unique  until 2106�Ǫ   
Cataracts Biometry Cataract su,TimeIntervalCode,timeintervalcode,TimeIntervalCode,key,key,Cataracts Biometry Cataract su TimeIntervalCode TimeIntervalCode
Pathology  Tayside ,ANOSpecimenNumber,anospecimennumber,This field represents the anonymised specimen number ,key,key,Pathology  Tayside  ANOSpecimenNumber This field represents the anonymised specimen number 
Grading Eye images and retinop,drEncounterId,drencounterid,UUID of the Encounter Id linking together the procedures which form the complete screening and grading process  A complete encounter encompasses the screening and potentially several grading procedures at different levels  Ophthalmology events are treated as one encounter  A patient enters ophthalmology  and the Screening Service recieves updates on the patient  Every update is recorded as a new procedure within the same encounter until discharge  Therefore one encounter may occur over several years,key,key,Grading Eye images and retinop drEncounterId UUID of the Encounter Id linking together the procedures which form the complete screening and grading process  A complete encounter encompasses the screening and potentially several grading procedures at different levels  Ophthalmology events are treated as one encounter  A patient enters ophthalmology  and the Screening Service recieves updates on the patient  Every update is recorded as a new procedure within the same encounter until discharge  Therefore one encounter may occur over several years
Biochemistry  Lab Data Restruc,PROCHI,prochi,Anonymised patient identifier,key,key,Biochemistry  Lab Data Restruc PROCHI Anonymised patient identifier
f therapy Optimum Patient Care,id,id,Record ID,key,key,f therapy Optimum Patient Care id Record ID
Grading Eye images and retinop,drProcedureId,drprocedureid,The UUID of the procedure consistituting grading and outcome  A procedure requires several Observations of both eyes to give an outcome  There may be several procedures constituting an Encounter  The first grading is the Primary Grade  If outcome is annual recall  primary may be the only procedure recorded  Note a random 10  are submitted for further grading as QA  If abnormal  further grading   secondary level takes place  If primary and secondary do not agree  arbitration level takes place  Theoutcome of a procedure may be to refer upwards to Referral Outcome Grading and acceptance into ophthalmology  or into slitlamp or more regular  intervals  1yr  surveillance,key,key,Grading Eye images and retinop drProcedureId The UUID of the procedure consistituting grading and outcome  A procedure requires several Observations of both eyes to give an outcome  There may be several procedures constituting an Encounter  The first grading is the Primary Grade  If outcome is annual recall  primary may be the only procedure recorded  Note a random 10  are submitted for further grading as QA  If abnormal  further grading   secondary level takes place  If primary and secondary do not agree  arbitration level takes place  Theoutcome of a procedure may be to refer upwards to Referral Outcome Grading and acceptance into ophthalmology  or into slitlamp or more regular  intervals  1yr  surveillance
Haematology  Lab Data Restruct,LocalClinicalCodeSchemeId,localclinicalcodeschemeid,No Column Description Available,key,key,Haematology  Lab Data Restruct LocalClinicalCodeSchemeId No Column Description Available
Cataracts Biometry Cataract su,IOLModelCode,iolmodelcode,IOLModelCode,key,key,Cataracts Biometry Cataract su IOLModelCode IOLModelCode
Biochemistry  Lab Data Restruc,ProvidingOrganisationID,providingorganisationid,ID   short name of the organisation providing the test results  E G  NINEWELLS  For full name see ProvidingOrganisationName  ,key,key,Biochemistry  Lab Data Restruc ProvidingOrganisationID ID   short name of the organisation providing the test results  E G  NINEWELLS  For full name see ProvidingOrganisationName  
f therapy Optimum Patient Care,visit_id,visit_id,ID for corresponding visit  currently placeholder only ,key,key,f therapy Optimum Patient Care visit_id ID for corresponding visit  currently placeholder only 
Pathology  Tayside ,PROCHI,prochi,Anonymised patient identifier,key,key,Pathology  Tayside  PROCHI Anonymised patient identifier
f referral Optimum Patient Car,speciality_code,speciality_code,Mapped NHS specialty code  opcrd code library dbo nhs speciality codes ,key,key,f referral Optimum Patient Car speciality_code Mapped NHS specialty code  opcrd code library dbo nhs speciality codes 
Biochemistry  Lab Data Restruc,LocalClinicalCodeValue,localclinicalcodevalue,This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this field is not always completed  Legacy Data Mapping  This field replaces Test code  ,key,key,Biochemistry  Lab Data Restruc LocalClinicalCodeValue This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this field is not always completed  Legacy Data Mapping  This field replaces Test code  
Biochemistry  Lab Data Restruc,TestReportID,testreportid,Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  For legacy data  Tayside  2007   the value of this field is constant  ,key,key,Biochemistry  Lab Data Restruc TestReportID Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  For legacy data  Tayside  2007   the value of this field is constant  
Grading Eye images and retinop,clinicianId,clinicianid,UUID of the clinician making the grading observation,key,key,Grading Eye images and retinop clinicianId UUID of the clinician making the grading observation
f referral Optimum Patient Car,id,id,Record ID,key,key,f referral Optimum Patient Car id Record ID
f clinical Optimum Patient Car,code_id,code_id,READ code for the clinical event,key,key,f clinical Optimum Patient Car code_id READ code for the clinical event
f clinical Optimum Patient Car,id,id,Record Id,key,key,f clinical Optimum Patient Car id Record Id
f therapy Optimum Patient Care,patid,patid,Patient ID linking to d patient,key,key,f therapy Optimum Patient Care patid Patient ID linking to d patient
f clinical Optimum Patient Car,snomed_id,snomed_id,SNOMED code for clinical event,key,key,f clinical Optimum Patient Car snomed_id SNOMED code for clinical event
Pathology  Tayside ,DepartmentCode,departmentcode,A code that identifies the department  Separate departments in Ninewells  NS – Ninewells Surgical  NC – Ninewells Cytology  PS – PRI Surgical and PC – PRI Cytology  until they combined in 2005 when the PS and PC codes were retired  ,key,key,Pathology  Tayside  DepartmentCode A code that identifies the department  Separate departments in Ninewells  NS – Ninewells Surgical  NC – Ninewells Cytology  PS – PRI Surgical and PC – PRI Cytology  until they combined in 2005 when the PS and PC codes were retired
Haematology  Lab Data Restruct,ProvidingOrganisationID,providingorganisationid,ID of the organisation providing the test results  ,key,key,Haematology  Lab Data Restruct ProvidingOrganisationID ID of the organisation providing the test results  
Cataracts Biometry Cataract su,BiometryTypeFE,biometrytypefe,BiometryTypeFE,key,key,Cataracts Biometry Cataract su BiometryTypeFE BiometryTypeFE
Haematology  Lab Data Restruct,PROCHI,prochi,Anonymised patient identifier,key,key,Haematology  Lab Data Restruct PROCHI Anonymised patient identifier
Cataracts Biometry Cataract su,AConstantCode,aconstantcode,AConstantCode,key,key,Cataracts Biometry Cataract su AConstantCode AConstantCode
f clinical Optimum Patient Car,patid,patid,Patient ID linking to d patient,key,key,f clinical Optimum Patient Car patid Patient ID linking to d patient
f therapy Optimum Patient Care,snomed_id,snomed_id,SNOMED code for the drug,key,key,f therapy Optimum Patient Care snomed_id SNOMED code for the drug
Haematology  Lab Data Restruct,RequestingPartyID,requestingpartyid,No Column Description Available,key,key,Haematology  Lab Data Restruct RequestingPartyID No Column Description Available
Cataracts Biometry Cataract su,KeratometerCodeFE,keratometercodefe,KeratometerCodeFE,key,key,Cataracts Biometry Cataract su KeratometerCodeFE KeratometerCodeFE
Haematology  Lab Data Restruct,TestSet_LocalClinicalCodeSchemeId,testset_localclinicalcodeschemeid,No Column Description Available,key,key,Haematology  Lab Data Restruct TestSet_LocalClinicalCodeSchemeId No Column Description Available
Haematology  Lab Data Restruct,Discipline,discipline,This is the discipline code for the laboratory test  For all biochemistry tests  the discipline code is CC  which represents Clinical Chemistry   ,key,key,Haematology  Lab Data Restruct Discipline This is the discipline code for the laboratory test  For all biochemistry tests  the discipline code is CC  which represents Clinical Chemistry   
d patient Optimum Patient Care,copd_resolved,copd_resolved,Last COPD resolved code on record if present,key,key,d patient Optimum Patient Care copd_resolved Last COPD resolved code on record if present
Immunology  Extractable Immuno,ReadCodeValue,readcodevalue,The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  ,key,key,Immunology  Extractable Immuno ReadCodeValue The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  
Cataracts Biometry Cataract su,EyeCodeFE,eyecodefe,EyeCodeFE,key,key,Cataracts Biometry Cataract su EyeCodeFE EyeCodeFE
Grading Eye images and retinop,patAnonKey,patanonkey,Patient UUID  aka GUID  anonymised patient id,key,key,Grading Eye images and retinop patAnonKey Patient UUID  aka GUID  anonymised patient id
d practice Optimum Patient Car,opc_ccg_id,opc_ccg_id,CCG ID linking to d ccg,key,key,d practice Optimum Patient Car opc_ccg_id CCG ID linking to d ccg
Haematology  Lab Data Restruct,LocalClinicalCodeValue,localclinicalcodevalue,This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this ield is not always completed  Legacy Data Mapping  This field rerplaces Test code  ,key,key,Haematology  Lab Data Restruct LocalClinicalCodeValue This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this ield is not always completed  Legacy Data Mapping  This field rerplaces Test code  
Screening Eye images and retin,drEncounterId,drencounterid,UUID of the patient Encounter  Retinal Screening and grading takes place over several days  An encounter links together the events and procedures of the process which constitutes a single screening and grading ,key,key,Screening Eye images and retin drEncounterId UUID of the patient Encounter  Retinal Screening and grading takes place over several days  An encounter links together the events and procedures of the process which constitutes a single screening and grading 
Cataracts Biometry Cataract su,AConstantCodeFE,aconstantcodefe,AConstantCodeFE,key,key,Cataracts Biometry Cataract su AConstantCodeFE AConstantCodeFE
Haematology  Lab Data Restruct,TestSet_LocalClinicalCodeValue,testset_localclinicalcodevalue,This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this field is not always completed  Legacy Data Mapping  This field replaces Test code  ,key,key,Haematology  Lab Data Restruct TestSet_LocalClinicalCodeValue This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this field is not always completed  Legacy Data Mapping  This field replaces Test code  
Cataracts Biometry Cataract su,Episodeid,episodeid,unique identifier to track the event,key,key,Cataracts Biometry Cataract su Episodeid unique identifier to track the event
Biochemistry  Lab Data Restruc,hb_extract,hb_extract,This is the alpha and or numeric Health Board code in which the patient CHI information was extracted from   ,location,location,Biochemistry  Lab Data Restruc hb_extract This is the alpha and or numeric Health Board code in which the patient CHI information was extracted from   
Demographics Eye images and re,geographicalArea,geographicalarea,The lsoa of the patient e g  E01003871,location,location,Demographics Eye images and re geographicalArea The lsoa of the patient e g  E01003871
d practice Optimum Patient Car,imd_decile,imd_decile,Index of Multiple Deprivation  decile  ��� based on published national statistics by postcode ,location,location,d practice Optimum Patient Car imd_decile Index of Multiple Deprivation  decile  ��� based on published national statistics by postcode 
d practice Optimum Patient Car,data_qc_pass,data_qc_pass,Data quality pass is a quality marker based on practice   1   Pass  0   Fail ,location,location,d practice Optimum Patient Car data_qc_pass Data quality pass is a quality marker based on practice   1   Pass  0   Fail 
Immunology  Extractable Immuno,LocalClinicalCodeDescription,localclinicalcodedescription,This field represents the description of LocalClinicalCode ,location,location,Immunology  Extractable Immuno LocalClinicalCodeDescription This field represents the description of LocalClinicalCode 
Biochemistry  Lab Data Restruc,ProvidingOrganisationType,providingorganisationtype,Type of organisation providing the test results  For Example  Hospital  For legacy  TS   07  data  this contains either  Hospital   HIC data   Pre98 or Hospital   HIC data   Post98 as appropriate  ,location,location,Biochemistry  Lab Data Restruc ProvidingOrganisationType Type of organisation providing the test results  For Example  Hospital  For legacy  TS   07  data  this contains either  Hospital   HIC data   Pre98 or Hospital   HIC data   Post98 as appropriate  
Biochemistry  Lab Data Restruc,ProvidingOrganisationName,providingorganisationname,Local name of the organisation providing the test results  This maybe include location as well as service name  for example   NINEWELL  Tayside Clinical Lab Services ,location,location,Biochemistry  Lab Data Restruc ProvidingOrganisationName Local name of the organisation providing the test results  This maybe include location as well as service name  for example   NINEWELL  Tayside Clinical Lab Services 
patients Cataract surgery and ,geographicalArea,geographicalarea,where they live,location,location,patients Cataract surgery and  geographicalArea where they live
Haematology  Lab Data Restruct,RequestingOrganisationStatus,requestingorganisationstatus,No Column Description Available,location,location,Haematology  Lab Data Restruct RequestingOrganisationStatus No Column Description Available
d practice Optimum Patient Car,postcode_district,postcode_district,District level postcode  e g  LA22 ,location,location,d practice Optimum Patient Car postcode_district District level postcode  e g  LA22 
Haematology  Lab Data Restruct,RequestingOrganisationName,requestingorganisationname,The laboratory providing the sample  For legacy data  this contains the record source  for example  Ninewells Data prior to Pinnacle Perth Masterlab Perth data from Ilims system Ninewells Pinnacle Data ,location,location,Haematology  Lab Data Restruct RequestingOrganisationName The laboratory providing the sample  For legacy data  this contains the record source  for example  Ninewells Data prior to Pinnacle Perth Masterlab Perth data from Ilims system Ninewells Pinnacle Data 
Haematology  Lab Data Restruct,RequestingOrganisationType,requestingorganisationtype,The type of organisation that the requestor is part of  This contains values such as  Hospital Practice Ward ,location,location,Haematology  Lab Data Restruct RequestingOrganisationType The type of organisation that the requestor is part of  This contains values such as  Hospital Practice Ward 
Biochemistry  Lab Data Restruc,RequestingOrganisationType,requestingorganisationtype,The type of organisation that the requestor is part of  This contains values such as  Hospital Practice Ward ,location,location,Biochemistry  Lab Data Restruc RequestingOrganisationType The type of organisation that the requestor is part of  This contains values such as  Hospital Practice Ward 
d patient Optimum Patient Care,postcode,postcode,District level postcode  e g  CB1 ,location,location,d patient Optimum Patient Care postcode District level postcode  e g  CB1 
Haematology  Lab Data Restruct,ProvidingOrganisationType,providingorganisationtype,Type of organisation providing the test results  For legacy data  this contains either  Hospital   HIC data   Pre98 or Hospital   HIC data   Post98 as appropriate  ,location,location,Haematology  Lab Data Restruct ProvidingOrganisationType Type of organisation providing the test results  For legacy data  this contains either  Hospital   HIC data   Pre98 or Hospital   HIC data   Post98 as appropriate  
Demographics Eye images and re,msoa,msoa,Middle layer super output area e g  E02000001,location,location,Demographics Eye images and re msoa Middle layer super output area e g  E02000001
Biochemistry  Lab Data Restruc,RequestingOrganisationName,requestingorganisationname,The laboratory providing the sample  For legacy data  this contains the record source  for example  Ninewells Data prior to Pinnacle Perth Masterlab Perth data from Ilims system Ninewells Pinnacle Data ,location,location,Biochemistry  Lab Data Restruc RequestingOrganisationName The laboratory providing the sample  For legacy data  this contains the record source  for example  Ninewells Data prior to Pinnacle Perth Masterlab Perth data from Ilims system Ninewells Pinnacle Data 
d practice Optimum Patient Car,training_practice,training_practice,Indicator if the practice is a NHS training practice   1   Yes  0   No   Training practices should have more robust coding of pre existing conditions when patients join ,location,location,d practice Optimum Patient Car training_practice Indicator if the practice is a NHS training practice   1   Yes  0   No   Training practices should have more robust coding of pre existing conditions when patients join 
Haematology  Lab Data Restruct,RangeLowValue,rangelowvalue,Minimum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  ,object,object,Haematology  Lab Data Restruct RangeLowValue Minimum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  
Immunology  Extractable Immuno,Sample_type,sample_type,This field represents the type of sample taken for the test  The pre 2005 sample type is all D  ,object,object,Immunology  Extractable Immuno Sample_type This field represents the type of sample taken for the test  The pre 2005 sample type is all D  
Biochemistry  Lab Data Restruc,ArithmeticComparator,arithmeticcomparator,This fieldrepresents additional information to be used in conjunction with the numeric result field QuantityValue  The contents should be interpreted along with the QuantityValue  for example  some EGFR results may be reported as QuantityValue   60  with ArithmeticComparator       This means the result is greater than 60  ,object,object,Biochemistry  Lab Data Restruc ArithmeticComparator This fieldrepresents additional information to be used in conjunction with the numeric result field QuantityValue  The contents should be interpreted along with the QuantityValue  for example  some EGFR results may be reported as QuantityValue   60  with ArithmeticComparator       This means the result is greater than 60  
Biochemistry  Lab Data Restruc,RangeHighValue,rangehighvalue,Maximum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  ,object,object,Biochemistry  Lab Data Restruc RangeHighValue Maximum guideline value for the test result at the time of testing  HIC Observation  These ranges vary based on relevant criteria such as age  gender  and guidelines will also change over time  
Cataracts Biometry Cataract su,IOLPower,iolpower,IOLPower,object,object,Cataracts Biometry Cataract su IOLPower IOLPower
f referral Optimum Patient Car,referral_type,referral_type,Free text for referral type,object,object,f referral Optimum Patient Car referral_type Free text for referral type
Biochemistry  Lab Data Restruc,SampleName,samplename,This indicates the type of sample taken for the test  Sample types include  Blood Cerebrospinal Faeces Fluid Fluoride Oxalate Hair Liver Biopsy Miscellaneous Muscle Biopsy Serum Skin Biopsy Stone Sweat Urine Water HIC Observation  Tayside labs report both Serum and Blood samples with SampleName   Blood  The read code value   description can be used to interpret the Sample correctly  This has been confirmed with the Tayside Lab experts  ,object,object,Biochemistry  Lab Data Restruc SampleName This indicates the type of sample taken for the test  Sample types include  Blood Cerebrospinal Faeces Fluid Fluoride Oxalate Hair Liver Biopsy Miscellaneous Muscle Biopsy Serum Skin Biopsy Stone Sweat Urine Water HIC Observation  Tayside labs report both Serum and Blood samples with SampleName   Blood  The read code value   description can be used to interpret the Sample correctly  This has been confirmed with the Tayside Lab experts  
Haematology  Lab Data Restruct,TestSet_ReadCodeDescription,testset_readcodedescription,This field represents the read code description ,object,object,Haematology  Lab Data Restruct TestSet_ReadCodeDescription This field represents the read code description 
Biochemistry  Lab Data Restruc,Discipline,discipline,This is the discipline code for the laboratory test  For all biochemistry tests  the discipline code is CC  which represents Clinical Chemistry   ,object,object,Biochemistry  Lab Data Restruc Discipline This is the discipline code for the laboratory test  For all biochemistry tests  the discipline code is CC  which represents Clinical Chemistry   
Cataracts Biometry Cataract su,AConstantDescFE,aconstantdescfe,AConstantDescFE,object,object,Cataracts Biometry Cataract su AConstantDescFE AConstantDescFE
Cataracts Biometry Cataract su,IOLFormulaDescFE,iolformuladescfe,IOLFormulaDescFE,object,object,Cataracts Biometry Cataract su IOLFormulaDescFE IOLFormulaDescFE
Grading Eye images and retinop,procedureInEncounterOrderAsc,procedureinencounterorderasc,Each encounter may have several grading procedures  this gives the order of the procedure within the encounter  starting with the first or primary grade as 1  Each encounter will have its own procedure order,object,object,Grading Eye images and retinop procedureInEncounterOrderAsc Each encounter may have several grading procedures  this gives the order of the procedure within the encounter  starting with the first or primary grade as 1  Each encounter will have its own procedure order
f therapy Optimum Patient Care,dose_id,dose_id,Dose index linking d dosage v2,object,object,f therapy Optimum Patient Care dose_id Dose index linking d dosage v2
Cataracts Biometry Cataract su,IOLModel,iolmodel,IOLModel,object,object,Cataracts Biometry Cataract su IOLModel IOLModel
Biochemistry  Lab Data Restruc,RangeUnit,rangeunit,Units of the guideline values presented in the RangeHighValue and RangeLowValue fields  HIC Observation  Don t assume that these units match those of the QuantityValue and Unit  ,object,object,Biochemistry  Lab Data Restruc RangeUnit Units of the guideline values presented in the RangeHighValue and RangeLowValue fields  HIC Observation  Don t assume that these units match those of the QuantityValue and Unit  
Haematology  Lab Data Restruct,LocalClinicalCodeDescription,localclinicalcodedescription,Description of LocalClinicalCode ,object,object,Haematology  Lab Data Restruct LocalClinicalCodeDescription Description of LocalClinicalCode 
Immunology  Extractable Immuno,ReadCodeDescription,readcodedescription,This is a textual description supplied by the local lab systems for the relevant read code  HIC Observation  This field appears to have not been mapped to the read code standard  The mapping of read code to description often changes  possibly over time  or versions of read code  for example  44P  may be described as both  Serum Total Cholesterol  and  Total Cholesterol  S   on different records  ,object,object,Immunology  Extractable Immuno ReadCodeDescription This is a textual description supplied by the local lab systems for the relevant read code  HIC Observation  This field appears to have not been mapped to the read code standard  The mapping of read code to description often changes  possibly over time  or versions of read code  for example  44P  may be described as both  Serum Total Cholesterol  and  Total Cholesterol  S   on different records  
