Source,Field,Field(lower),Tokenized Source,Descriptor,Tokenized Descriptor,Label,category,text
Immunology  Extractable Immuno,origResult,origresult,immunology extractable immuno,This field represents the original result field from the lab system  HIC extracts the decimal part and puts it in the Result field  Any non numeric values go into the Comment field   For some tests where results are recorded as GT or LT or Negative Positive  eg GT60 for eGFR tests  then this field will have to be used ,field represents original result field lab system hic extracts decimal part puts result field non numeric values go comment field tests results recorded gt lt negative positive eg gt60 egfr tests field used,event,event,immunology extractable immuno origresult field represents original result field lab system hic extracts decimal part puts result field non numeric values go comment field tests results recorded gt lt negative positive eg gt60 egfr tests field used
Haematology  Lab Data Restruct,ArithmeticComparator,arithmeticcomparator,haematology lab data restruct,This field contains additional information to be used in conjunction with the numeric result field QuantityValue  The contents should be interpreted along with the QuantityValue  for example  some EGFR results may be reported as QuantityValue   60  with ArithmeticComparator       This means the result is greater than 60  ,field contains additional information used conjunction numeric result field quantityvalue contents interpreted along quantityvalue example egfr results may reported quantityvalue 60 arithmeticcomparator means result greater 60,event,event,haematology lab data restruct arithmeticcomparator field contains additional information used conjunction numeric result field quantityvalue contents interpreted along quantityvalue example egfr results may reported quantityvalue 60 arithmeticcomparator means result greater 60
Cataracts Biometry Cataract su,AConstantValueFE,aconstantvaluefe,cataracts biometry cataract su,AConstantValueFE,aconstantvaluefe,event,event,cataracts biometry cataract su aconstantvaluefe aconstantvaluefe
Haematology  Lab Data Restruct,QuantityValue,quantityvalue,haematology lab data restruct,The result of the test being carried out  This field contains numeric data only   ,result test carried field contains numeric data,event,event,haematology lab data restruct quantityvalue result test carried field contains numeric data
Observations Eye images and re,drProcedureId,drprocedureid,observations eye images,The UUID of the procedure consistituting grading and outcome ,uuid procedure consistituting grading outcome,key,key,observations eye images drprocedureid uuid procedure consistituting grading outcome
d patient Optimum Patient Care,practice_id,practice_id,patient optimum patient care,Practice ID linking to d practice,practice id linking practice,key,key,patient optimum patient care practice_id practice id linking practice
Biochemistry  Lab Data Restruc,TestResultOrder,testresultorder,biochemistry lab data restruc,Part of the internal HIC primary key used in linking the Labs data together  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  This is a unique identifier assigned by the lab system based on the order in which the tests were run on the sample  For legacy data  TS  07   the value of this field is imputed   ,part internal hic primary key used linking labs data together field used communicating record specific queries hic allows us locate record question unique identifier assigned lab system based order tests run sample legacy data ts 07 value field imputed,key,key,biochemistry lab data restruc testresultorder part internal hic primary key used linking labs data together field used communicating record specific queries hic allows us locate record question unique identifier assigned lab system based order tests run sample legacy data ts 07 value field imputed
Haematology  Lab Data Restruct,LabNumber,labnumber,haematology lab data restruct,Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question   ,part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question,key,key,haematology lab data restruct labnumber part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question
Haematology  Lab Data Restruct,TestIdentifier,testidentifier,haematology lab data restruct,This field represents a unique number to the patient and test and is anonymised on extraction ,field represents unique number patient test anonymised extraction,key,key,haematology lab data restruct testidentifier field represents unique number patient test anonymised extraction
Haematology  Lab Data Restruct,hic_resultID,hic_resultid,haematology lab data restruct,No Column Description Available,column description available,key,key,haematology lab data restruct hic_resultid column description available
Haematology  Lab Data Restruct,ReadCodeValue,readcodevalue,haematology lab data restruct,The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode proivided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  ,read code allocated test field useful standardised grouping tests example looking serum total cholesterol records marked 44p represent regardless localclinicalcode proivided hic observation restructuring significantly improved quality accuracy field legacy data field completion rates much greater 95 legacy results featuring read code hic also developed lookup table used throughout data project lifecycle released along data set,key,key,haematology lab data restruct readcodevalue read code allocated test field useful standardised grouping tests example looking serum total cholesterol records marked 44p represent regardless localclinicalcode proivided hic observation restructuring significantly improved quality accuracy field legacy data field completion rates much greater 95 legacy results featuring read code hic also developed lookup table used throughout data project lifecycle released along data set
Cataracts Biometry Cataract su,AScanCodeFE,ascancodefe,cataracts biometry cataract su,AScanCodeFE,ascancodefe,key,key,cataracts biometry cataract su ascancodefe ascancodefe
Biochemistry  Lab Data Restruc,TestIdentifier,testidentifier,biochemistry lab data restruc,Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  ,part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question,key,key,biochemistry lab data restruc testidentifier part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question
Haematology  Lab Data Restruct,TestReportID,testreportid,haematology lab data restruct,This field represents a unique number to the patient and test and is anonymised on extraction ,field represents unique number patient test anonymised extraction,key,key,haematology lab data restruct testreportid field represents unique number patient test anonymised extraction
Screening Eye images and retin,drScreeningId,drscreeningid,screening eye images retin,UUID of the procedure which forms a Screening Event in the procedure  A screening event includes the dilation type  VA measurement  but not the photography or grading procedures following ,uuid procedure forms screening event procedure screening event includes dilation type va measurement photography grading procedures following,key,key,screening eye images retin drscreeningid uuid procedure forms screening event procedure screening event includes dilation type va measurement photography grading procedures following
Cataracts Biometry Cataract su,BiometryType,biometrytype,cataracts biometry cataract su,BiometryType,biometrytype,key,key,cataracts biometry cataract su biometrytype biometrytype
f referral Optimum Patient Car,patid,patid,f referral optimum patient car,Patient ID linking to d patient,patient id linking patient,key,key,f referral optimum patient car patid patient id linking patient
Immunology  Extractable Immuno,Lab_number,lab_number,immunology extractable immuno,This field represents a unique internal number assigned in MasterLab system  It is used by HIC for referring back to individual laboratory results  ,field represents unique internal number assigned masterlab system used hic referring back individual laboratory results,key,key,immunology extractable immuno lab_number field represents unique internal number assigned masterlab system used hic referring back individual laboratory results
Microbiology   Tayside Tests,PROCHI,prochi,microbiology tayside tests,Anonymised patient identifier,anonymised patient identifier,key,key,microbiology tayside tests prochi anonymised patient identifier
Haematology  Lab Data Restruct,PatientID,patientid,haematology lab data restruct,Community Health Index  CHI  number is a unique personal identifier allocated to each patient on first registration with a GP Practice  It follows the format DDMMYYRRGC where DDMMYY represents the persons date of birth  RR are random digits  G is another random digit but acts as a gender identifier   where odd numbers indicate males and even numbers indicate females   and the final digit is an arithmetical check digit ,community health index chi number unique personal identifier allocated patient first registration gp practice follows format ddmmyyrrgc ddmmyy represents persons date birth rr random digits g another random digit acts gender identifier odd numbers indicate males even numbers indicate females final digit arithmetical check digit,key,key,haematology lab data restruct patientid community health index chi number unique personal identifier allocated patient first registration gp practice follows format ddmmyyrrgc ddmmyy represents persons date birth rr random digits g another random digit acts gender identifier odd numbers indicate males even numbers indicate females final digit arithmetical check digit
d practice Optimum Patient Car,practice_id,practice_id,practice optimum patient car,Practice ID  anonymous  derived from OPCRD ,practice id anonymous derived opcrd,key,key,practice optimum patient car practice_id practice id anonymous derived opcrd
Biochemistry  Lab Data Restruc,LabNumber,labnumber,biochemistry lab data restruc,Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question   ,part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question,key,key,biochemistry lab data restruc labnumber part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question
patients Cataract surgery and ,patAnonKey,patanonkey,patients cataract surgery,unique identifier,unique identifier,key,key,patients cataract surgery patanonkey unique identifier
Microbiology   Tayside Tests,TestCode,testcode,microbiology tayside tests,This field represents the microbiology test code that was performed  e g   BC   Blood Cultures  GEN   Genotype   ,field represents microbiology test code performed e g bc blood cultures gen genotype,key,key,microbiology tayside tests testcode field represents microbiology test code performed e g bc blood cultures gen genotype
Cataracts Biometry Cataract su,BiometristCode,biometristcode,cataracts biometry cataract su,BiometristCode,biometristcode,key,key,cataracts biometry cataract su biometristcode biometristcode
Cataracts Biometry Cataract su,AScanCode,ascancode,cataracts biometry cataract su,AScanCode,ascancode,key,key,cataracts biometry cataract su ascancode ascancode
Screening Eye images and retin,patAnonKey,patanonkey,screening eye images retin,Patient UUID  aka GUID  anonymised patient id,patient uuid aka guid anonymised patient id,key,key,screening eye images retin patanonkey patient uuid aka guid anonymised patient id
Cataracts Biometry Cataract su,IOLModelCodeFE,iolmodelcodefe,cataracts biometry cataract su,IOLModelCodeFE,iolmodelcodefe,key,key,cataracts biometry cataract su iolmodelcodefe iolmodelcodefe
Immunology  Extractable Immuno,PROCHI,prochi,immunology extractable immuno,Anonymised patient identifier,anonymised patient identifier,key,key,immunology extractable immuno prochi anonymised patient identifier
Haematology  Lab Data Restruct,hic_dataLoadRunID,hic_dataloadrunid,haematology lab data restruct,No Column Description Available,column description available,key,key,haematology lab data restruct hic_dataloadrunid column description available
Immunology  Extractable Immuno,hb_extract,hb_extract,immunology extractable immuno,This field represents the alpha and or numeric Health Board code in which the patient CHI information was extracted from   ,field represents alpha numeric health board code patient chi information extracted,key,key,immunology extractable immuno hb_extract field represents alpha numeric health board code patient chi information extracted
Haematology  Lab Data Restruct,RequestingOrganisationID,requestingorganisationid,haematology lab data restruct,No Column Description Available,column description available,key,key,haematology lab data restruct requestingorganisationid column description available
d patient Optimum Patient Care,patid,patid,patient optimum patient care,Patient ID  anonymous  derived from service DB ,patient id anonymous derived service db,key,key,patient optimum patient care patid patient id anonymous derived service db
Biochemistry  Lab Data Restruc,LabNumberIdentifiable,labnumberidentifiable,biochemistry lab data restruc,This field represents the Lab Number ,field represents lab number,key,key,biochemistry lab data restruc labnumberidentifiable field represents lab number
Observations Eye images and re,drEncounterId,drencounterid,observations eye images,UUID of the Encounter Id linking together the procedures which form the complete screening and grading process ,uuid encounter id linking together procedures form complete screening grading process,key,key,observations eye images drencounterid uuid encounter id linking together procedures form complete screening grading process
Cataracts Biometry Cataract su,KeratometerCode,keratometercode,cataracts biometry cataract su,KeratometerCode,keratometercode,key,key,cataracts biometry cataract su keratometercode keratometercode
d patient Optimum Patient Care,copd_diag,copd_diag,patient optimum patient care,First COPD diagnosis or first COPD diagnosis since last COPD resolved code if present,first copd diagnosis first copd diagnosis since last copd resolved code present,key,key,patient optimum patient care copd_diag first copd diagnosis first copd diagnosis since last copd resolved code present
Haematology  Lab Data Restruct,TestSet_ReadCodeValue,testset_readcodevalue,haematology lab data restruct,The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  ,read code allocated test field useful standardised grouping tests example looking serum total cholesterol records marked 44p represent regardless localclinicalcode provided hic observation restructuring significantly improved quality accuracy field legacy data field completion rates much greater 95 legacy results featuring read code hic also developed lookup table used throughout data project lifecycle released along data set,key,key,haematology lab data restruct testset_readcodevalue read code allocated test field useful standardised grouping tests example looking serum total cholesterol records marked 44p represent regardless localclinicalcode provided hic observation restructuring significantly improved quality accuracy field legacy data field completion rates much greater 95 legacy results featuring read code hic also developed lookup table used throughout data project lifecycle released along data set
Demographics Eye images and re,patAnonKey,patanonkey,demographics eye images,Unique identifier for patient  The anonymous key is generated by hashing patients ID e g  abc1234,unique identifier patient anonymous key generated hashing patients id e g abc1234,key,key,demographics eye images patanonkey unique identifier patient anonymous key generated hashing patients id e g abc1234
d patient Optimum Patient Care,asthma_resolved,asthma_resolved,patient optimum patient care,Last asthma resolved code on record if present,last asthma resolved code record present,key,key,patient optimum patient care asthma_resolved last asthma resolved code record present
Microbiology   Tayside Tests,SpecimenNo,specimenno,microbiology tayside tests,This field represents the alphanumeric specimen number  The specimen number is unique with the first part as date and department  e g  06B   The second part is the number  This starts at 100000 or 000001 every year  The combination is unique  until 2106…   ,field represents alphanumeric specimen number specimen number unique first part date department e g 06b second part number starts 100000 000001 every year combination unique 2106,key,key,microbiology tayside tests specimenno field represents alphanumeric specimen number specimen number unique first part date department e g 06b second part number starts 100000 000001 every year combination unique 2106
Cataracts Biometry Cataract su,TimeIntervalCode,timeintervalcode,cataracts biometry cataract su,TimeIntervalCode,timeintervalcode,key,key,cataracts biometry cataract su timeintervalcode timeintervalcode
Pathology  Tayside ,ANOSpecimenNumber,anospecimennumber,pathology tayside,This field represents the anonymised specimen number ,field represents anonymised specimen number,key,key,pathology tayside anospecimennumber field represents anonymised specimen number
Grading Eye images and retinop,drEncounterId,drencounterid,grading eye images retinop,UUID of the Encounter Id linking together the procedures which form the complete screening and grading process  A complete encounter encompasses the screening and potentially several grading procedures at different levels  Ophthalmology events are treated as one encounter  A patient enters ophthalmology  and the Screening Service recieves updates on the patient  Every update is recorded as a new procedure within the same encounter until discharge  Therefore one encounter may occur over several years,uuid encounter id linking together procedures form complete screening grading process complete encounter encompasses screening potentially several grading procedures different levels ophthalmology events treated one encounter patient enters ophthalmology screening service recieves updates patient every update recorded new procedure within encounter discharge therefore one encounter may occur several years,key,key,grading eye images retinop drencounterid uuid encounter id linking together procedures form complete screening grading process complete encounter encompasses screening potentially several grading procedures different levels ophthalmology events treated one encounter patient enters ophthalmology screening service recieves updates patient every update recorded new procedure within encounter discharge therefore one encounter may occur several years
Biochemistry  Lab Data Restruc,PROCHI,prochi,biochemistry lab data restruc,Anonymised patient identifier,anonymised patient identifier,key,key,biochemistry lab data restruc prochi anonymised patient identifier
f therapy Optimum Patient Care,id,id,f therapy optimum patient care,Record ID,record id,key,key,f therapy optimum patient care id record id
Grading Eye images and retinop,drProcedureId,drprocedureid,grading eye images retinop,The UUID of the procedure consistituting grading and outcome  A procedure requires several Observations of both eyes to give an outcome  There may be several procedures constituting an Encounter  The first grading is the Primary Grade  If outcome is annual recall  primary may be the only procedure recorded  Note a random 10  are submitted for further grading as QA  If abnormal  further grading   secondary level takes place  If primary and secondary do not agree  arbitration level takes place  Theoutcome of a procedure may be to refer upwards to Referral Outcome Grading and acceptance into ophthalmology  or into slitlamp or more regular  intervals  1yr  surveillance,uuid procedure consistituting grading outcome procedure requires several observations eyes give outcome may several procedures constituting encounter first grading primary grade outcome annual recall primary may procedure recorded note random 10 submitted grading qa abnormal grading secondary level takes place primary secondary agree arbitration level takes place theoutcome procedure may refer upwards referral outcome grading acceptance ophthalmology slitlamp regular intervals 1yr surveillance,key,key,grading eye images retinop drprocedureid uuid procedure consistituting grading outcome procedure requires several observations eyes give outcome may several procedures constituting encounter first grading primary grade outcome annual recall primary may procedure recorded note random 10 submitted grading qa abnormal grading secondary level takes place primary secondary agree arbitration level takes place theoutcome procedure may refer upwards referral outcome grading acceptance ophthalmology slitlamp regular intervals 1yr surveillance
Haematology  Lab Data Restruct,LocalClinicalCodeSchemeId,localclinicalcodeschemeid,haematology lab data restruct,No Column Description Available,column description available,key,key,haematology lab data restruct localclinicalcodeschemeid column description available
Cataracts Biometry Cataract su,IOLModelCode,iolmodelcode,cataracts biometry cataract su,IOLModelCode,iolmodelcode,key,key,cataracts biometry cataract su iolmodelcode iolmodelcode
Biochemistry  Lab Data Restruc,ProvidingOrganisationID,providingorganisationid,biochemistry lab data restruc,ID   short name of the organisation providing the test results  E G  NINEWELLS  For full name see ProvidingOrganisationName  ,id short name organisation providing test results e g ninewells full name see providingorganisationname,key,key,biochemistry lab data restruc providingorganisationid id short name organisation providing test results e g ninewells full name see providingorganisationname
f therapy Optimum Patient Care,visit_id,visit_id,f therapy optimum patient care,ID for corresponding visit  currently placeholder only ,id corresponding visit currently placeholder,key,key,f therapy optimum patient care visit_id id corresponding visit currently placeholder
Pathology  Tayside ,PROCHI,prochi,pathology tayside,Anonymised patient identifier,anonymised patient identifier,key,key,pathology tayside prochi anonymised patient identifier
f referral Optimum Patient Car,speciality_code,speciality_code,f referral optimum patient car,Mapped NHS specialty code  opcrd code library dbo nhs speciality codes ,mapped nhs specialty code opcrd code library dbo nhs speciality codes,key,key,f referral optimum patient car speciality_code mapped nhs specialty code opcrd code library dbo nhs speciality codes
Biochemistry  Lab Data Restruc,LocalClinicalCodeValue,localclinicalcodevalue,biochemistry lab data restruc,This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this field is not always completed  Legacy Data Mapping  This field replaces Test code  ,field store test code test taken performed e g chol cholesterol used providing organisation note field always completed legacy data mapping field replaces test code,key,key,biochemistry lab data restruc localclinicalcodevalue field store test code test taken performed e g chol cholesterol used providing organisation note field always completed legacy data mapping field replaces test code
Biochemistry  Lab Data Restruc,TestReportID,testreportid,biochemistry lab data restruc,Part of the internal HIC primary key used in linking the Labs data together  This is a unique identifier assigned by the lab system  This field should be used in communicating record specific queries with HIC as it allows us to locate the record in question  For legacy data  Tayside  2007   the value of this field is constant  ,part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question legacy data tayside 2007 value field constant,key,key,biochemistry lab data restruc testreportid part internal hic primary key used linking labs data together unique identifier assigned lab system field used communicating record specific queries hic allows us locate record question legacy data tayside 2007 value field constant
Grading Eye images and retinop,clinicianId,clinicianid,grading eye images retinop,UUID of the clinician making the grading observation,uuid clinician making grading observation,key,key,grading eye images retinop clinicianid uuid clinician making grading observation
f referral Optimum Patient Car,id,id,f referral optimum patient car,Record ID,record id,key,key,f referral optimum patient car id record id
f clinical Optimum Patient Car,code_id,code_id,f clinical optimum patient car,READ code for the clinical event,read code clinical event,key,key,f clinical optimum patient car code_id read code clinical event
f clinical Optimum Patient Car,id,id,f clinical optimum patient car,Record Id,record id,key,key,f clinical optimum patient car id record id
f therapy Optimum Patient Care,patid,patid,f therapy optimum patient care,Patient ID linking to d patient,patient id linking patient,key,key,f therapy optimum patient care patid patient id linking patient
f clinical Optimum Patient Car,snomed_id,snomed_id,f clinical optimum patient car,SNOMED code for clinical event,snomed code clinical event,key,key,f clinical optimum patient car snomed_id snomed code clinical event
Pathology  Tayside ,DepartmentCode,departmentcode,pathology tayside,A code that identifies the department  Separate departments in Ninewells  NS – Ninewells Surgical  NC – Ninewells Cytology  PS – PRI Surgical and PC – PRI Cytology  until they combined in 2005 when the PS and PC codes were retired  ,code identifies department separate departments ninewells ns ninewells surgical nc ninewells cytology ps pri surgical pc pri cytology combined 2005 ps pc codes retired,key,key,pathology tayside departmentcode code identifies department separate departments ninewells ns ninewells surgical nc ninewells cytology ps pri surgical pc pri cytology combined 2005 ps pc codes retired
Haematology  Lab Data Restruct,ProvidingOrganisationID,providingorganisationid,haematology lab data restruct,ID of the organisation providing the test results  ,id organisation providing test results,key,key,haematology lab data restruct providingorganisationid id organisation providing test results
Cataracts Biometry Cataract su,BiometryTypeFE,biometrytypefe,cataracts biometry cataract su,BiometryTypeFE,biometrytypefe,key,key,cataracts biometry cataract su biometrytypefe biometrytypefe
Haematology  Lab Data Restruct,PROCHI,prochi,haematology lab data restruct,Anonymised patient identifier,anonymised patient identifier,key,key,haematology lab data restruct prochi anonymised patient identifier
Cataracts Biometry Cataract su,AConstantCode,aconstantcode,cataracts biometry cataract su,AConstantCode,aconstantcode,key,key,cataracts biometry cataract su aconstantcode aconstantcode
f clinical Optimum Patient Car,patid,patid,f clinical optimum patient car,Patient ID linking to d patient,patient id linking patient,key,key,f clinical optimum patient car patid patient id linking patient
f therapy Optimum Patient Care,snomed_id,snomed_id,f therapy optimum patient care,SNOMED code for the drug,snomed code drug,key,key,f therapy optimum patient care snomed_id snomed code drug
Haematology  Lab Data Restruct,RequestingPartyID,requestingpartyid,haematology lab data restruct,No Column Description Available,column description available,key,key,haematology lab data restruct requestingpartyid column description available
Cataracts Biometry Cataract su,KeratometerCodeFE,keratometercodefe,cataracts biometry cataract su,KeratometerCodeFE,keratometercodefe,key,key,cataracts biometry cataract su keratometercodefe keratometercodefe
Haematology  Lab Data Restruct,TestSet_LocalClinicalCodeSchemeId,testset_localclinicalcodeschemeid,haematology lab data restruct,No Column Description Available,column description available,key,key,haematology lab data restruct testset_localclinicalcodeschemeid column description available
Haematology  Lab Data Restruct,Discipline,discipline,haematology lab data restruct,This is the discipline code for the laboratory test  For all biochemistry tests  the discipline code is CC  which represents Clinical Chemistry   ,discipline code laboratory test biochemistry tests discipline code cc represents clinical chemistry,key,key,haematology lab data restruct discipline discipline code laboratory test biochemistry tests discipline code cc represents clinical chemistry
d patient Optimum Patient Care,copd_resolved,copd_resolved,patient optimum patient care,Last COPD resolved code on record if present,last copd resolved code record present,key,key,patient optimum patient care copd_resolved last copd resolved code record present
Immunology  Extractable Immuno,ReadCodeValue,readcodevalue,immunology extractable immuno,The read code allocated to the test  This field is useful as a standardised grouping for the tests  for example  if you are looking in Serum Total Cholesterol  all records marked with 44P  represent this regardless of the localClinicalCode provided  HIC Observation  Restructuring has significantly improved the quality and accuracy of this field  For legacy data  field completion rates are much greater  with over 95  of the legacy results now featuring a read code  HIC have also developed a lookup table  which will be used throughout the data project lifecycle and released along with this data set  ,read code allocated test field useful standardised grouping tests example looking serum total cholesterol records marked 44p represent regardless localclinicalcode provided hic observation restructuring significantly improved quality accuracy field legacy data field completion rates much greater 95 legacy results featuring read code hic also developed lookup table used throughout data project lifecycle released along data set,key,key,immunology extractable immuno readcodevalue read code allocated test field useful standardised grouping tests example looking serum total cholesterol records marked 44p represent regardless localclinicalcode provided hic observation restructuring significantly improved quality accuracy field legacy data field completion rates much greater 95 legacy results featuring read code hic also developed lookup table used throughout data project lifecycle released along data set
Cataracts Biometry Cataract su,EyeCodeFE,eyecodefe,cataracts biometry cataract su,EyeCodeFE,eyecodefe,key,key,cataracts biometry cataract su eyecodefe eyecodefe
Grading Eye images and retinop,patAnonKey,patanonkey,grading eye images retinop,Patient UUID  aka GUID  anonymised patient id,patient uuid aka guid anonymised patient id,key,key,grading eye images retinop patanonkey patient uuid aka guid anonymised patient id
d practice Optimum Patient Car,opc_ccg_id,opc_ccg_id,practice optimum patient car,CCG ID linking to d ccg,ccg id linking ccg,key,key,practice optimum patient car opc_ccg_id ccg id linking ccg
Haematology  Lab Data Restruct,LocalClinicalCodeValue,localclinicalcodevalue,haematology lab data restruct,This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this ield is not always completed  Legacy Data Mapping  This field rerplaces Test code  ,field store test code test taken performed e g chol cholesterol used providing organisation note ield always completed legacy data mapping field rerplaces test code,key,key,haematology lab data restruct localclinicalcodevalue field store test code test taken performed e g chol cholesterol used providing organisation note ield always completed legacy data mapping field rerplaces test code
Screening Eye images and retin,drEncounterId,drencounterid,screening eye images retin,UUID of the patient Encounter  Retinal Screening and grading takes place over several days  An encounter links together the events and procedures of the process which constitutes a single screening and grading ,uuid patient encounter retinal screening grading takes place several days encounter links together events procedures process constitutes single screening grading,key,key,screening eye images retin drencounterid uuid patient encounter retinal screening grading takes place several days encounter links together events procedures process constitutes single screening grading
Cataracts Biometry Cataract su,AConstantCodeFE,aconstantcodefe,cataracts biometry cataract su,AConstantCodeFE,aconstantcodefe,key,key,cataracts biometry cataract su aconstantcodefe aconstantcodefe
Haematology  Lab Data Restruct,TestSet_LocalClinicalCodeValue,testset_localclinicalcodevalue,haematology lab data restruct,This field store the test code for the test taken performed  e g   CHOL   Cholesterol  as used by the providing organisation  Note that this field is not always completed  Legacy Data Mapping  This field replaces Test code  ,field store test code test taken performed e g chol cholesterol used providing organisation note field always completed legacy data mapping field replaces test code,key,key,haematology lab data restruct testset_localclinicalcodevalue field store test code test taken performed e g chol cholesterol used providing organisation note field always completed legacy data mapping field replaces test code
Cataracts Biometry Cataract su,Episodeid,episodeid,cataracts biometry cataract su,unique identifier to track the event,unique identifier track event,key,key,cataracts biometry cataract su episodeid unique identifier track event
Biochemistry  Lab Data Restruc,hb_extract,hb_extract,biochemistry lab data restruc,This is the alpha and or numeric Health Board code in which the patient CHI information was extracted from   ,alpha numeric health board code patient chi information extracted,location,location,biochemistry lab data restruc hb_extract alpha numeric health board code patient chi information extracted
Demographics Eye images and re,geographicalArea,geographicalarea,demographics eye images,The lsoa of the patient e g  E01003871,lsoa patient e g e01003871,location,location,demographics eye images geographicalarea lsoa patient e g e01003871
d practice Optimum Patient Car,imd_decile,imd_decile,practice optimum patient car,Index of Multiple Deprivation  decile  – based on published national statistics by postcode ,index multiple deprivation decile based published national statistics postcode,location,location,practice optimum patient car imd_decile index multiple deprivation decile based published national statistics postcode
d practice Optimum Patient Car,data_qc_pass,data_qc_pass,practice optimum patient car,Data quality pass is a quality marker based on practice   1   Pass  0   Fail ,data quality pass quality marker based practice 1 pass 0 fail,location,location,practice optimum patient car data_qc_pass data quality pass quality marker based practice 1 pass 0 fail
Immunology  Extractable Immuno,LocalClinicalCodeDescription,localclinicalcodedescription,immunology extractable immuno,This field represents the description of LocalClinicalCode ,field represents description localclinicalcode,location,location,immunology extractable immuno localclinicalcodedescription field represents description localclinicalcode
Biochemistry  Lab Data Restruc,ProvidingOrganisationType,providingorganisationtype,biochemistry lab data restruc,Type of organisation providing the test results  For Example  Hospital  For legacy  TS   07  data  this contains either  Hospital   HIC data   Pre98 or Hospital   HIC data   Post98 as appropriate  ,type organisation providing test results example hospital legacy ts 07 data contains either hospital hic data pre98 hospital hic data post98 appropriate,location,location,biochemistry lab data restruc providingorganisationtype type organisation providing test results example hospital legacy ts 07 data contains either hospital hic data pre98 hospital hic data post98 appropriate
Biochemistry  Lab Data Restruc,ProvidingOrganisationName,providingorganisationname,biochemistry lab data restruc,Local name of the organisation providing the test results  This maybe include location as well as service name  for example   NINEWELL  Tayside Clinical Lab Services ,local name organisation providing test results maybe include location well service name example ninewell tayside clinical lab services,location,location,biochemistry lab data restruc providingorganisationname local name organisation providing test results maybe include location well service name example ninewell tayside clinical lab services
patients Cataract surgery and ,geographicalArea,geographicalarea,patients cataract surgery,where they live,live,location,location,patients cataract surgery geographicalarea live
Haematology  Lab Data Restruct,RequestingOrganisationStatus,requestingorganisationstatus,haematology lab data restruct,No Column Description Available,column description available,location,location,haematology lab data restruct requestingorganisationstatus column description available
d practice Optimum Patient Car,postcode_district,postcode_district,practice optimum patient car,District level postcode  e g  LA22 ,district level postcode e g la22,location,location,practice optimum patient car postcode_district district level postcode e g la22
Haematology  Lab Data Restruct,RequestingOrganisationName,requestingorganisationname,haematology lab data restruct,The laboratory providing the sample  For legacy data  this contains the record source  for example  Ninewells Data prior to Pinnacle Perth Masterlab Perth data from Ilims system Ninewells Pinnacle Data ,laboratory providing sample legacy data contains record source example ninewells data prior pinnacle perth masterlab perth data ilims system ninewells pinnacle data,location,location,haematology lab data restruct requestingorganisationname laboratory providing sample legacy data contains record source example ninewells data prior pinnacle perth masterlab perth data ilims system ninewells pinnacle data
Haematology  Lab Data Restruct,RequestingOrganisationType,requestingorganisationtype,haematology lab data restruct,The type of organisation that the requestor is part of  This contains values such as  Hospital Practice Ward ,type organisation requestor part contains values hospital practice ward,location,location,haematology lab data restruct requestingorganisationtype type organisation requestor part contains values hospital practice ward
Biochemistry  Lab Data Restruc,RequestingOrganisationType,requestingorganisationtype,biochemistry lab data restruc,The type of organisation that the requestor is part of  This contains values such as  Hospital Practice Ward ,type organisation requestor part contains values hospital practice ward,location,location,biochemistry lab data restruc requestingorganisationtype type organisation requestor part contains values hospital practice ward
d patient Optimum Patient Care,postcode,postcode,patient optimum patient care,District level postcode  e g  CB1 ,district level postcode e g cb1,location,location,patient optimum patient care postcode district level postcode e g cb1
